timestamp,age,gender,college,year_of_study,gpa_range,currently_employed,leisure_hours,self_study_hours,study_environment,sleep_hours,impact_on_learning_progress,far_away_deadlines,study_plan,start_early_when_necessary,difficult_to_maintain,data_quality_check,comfort_or_convenience,peers_consider_normal,control_over_habit,sooner_next_month,delay_until_deadline,focus_frequency,delay_unenjoyable_assignments,referrer
14/05/2026 0:28:00,19,Male,CECS (Engineering & Computer Science),1st Year,3.5 – 4.0,No,2.0,4.0,"Private space (i.e. bedroom, home office)",8.0,Somewhat Agree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,5.0,4.0,Nguyễn Cảnh Kỳ
14/05/2026 0:30:30,19,Female,CBM (Business and Management),1st Year,3.5 – 4.0,Yes,2.0,8.0,"Private space (i.e. bedroom, home office)",7.0,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Neutral,Strongly Agree,Disagree,4.0,5.0,Đặng Tuấn Kiệt
14/05/2026 0:30:32,19,Male,CECS (Engineering & Computer Science),1st Year,3.0 – 3.49,No,4.0,3.0,Open learning space (i.e. university library),6.0,Somewhat Agree,Agree,Agree,Neutral,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Disagree,3.0,4.0,Đặng Tuấn Kiệt
14/05/2026 0:31:18,18,Male,CECS (Engineering & Computer Science),1st Year,2.5 – 2.99,No,2.0,5.0,"Private space (i.e. bedroom, home office)",8.0,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,5.0,5.0,Nguyễn Trọng Nhân
14/05/2026 0:32:25,19,Male,CECS (Engineering & Computer Science),1st Year,3.0 – 3.49,No,5.0,4.0,"Private space (i.e. bedroom, home office)",7.0,Strongly Agree,Agree,Agree,Agree,Neutral,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Neutral,Strongly Disagree,Neutral,5.0,6.0,Nguyễn Trọng Nhân
14/05/2026 0:33:32,23,Male,CHS (Health Science),1st Year,3.5 – 4.0,No,4.0,1.0,"Private space (i.e. bedroom, home office)",5.0,Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Neutral,Agree,5.0,6.0,Bill
14/05/2026 0:33:48,20,Male,CBM (Business and Management),2nd Year,3.0 – 3.49,No,2.0,14.0,"Private space (i.e. bedroom, home office)",7.0,Agree,Agree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,5.0,5.0,Đặng Tuấn Kiệt
14/05/2026 0:35:08,19,Male,CBM (Business and Management),1st Year,3.0 – 3.49,No,9.0,4.0,"Private space (i.e. bedroom, home office)",6.0,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Agree,3.0,4.0,Đặng Tuấn Kiệt
14/05/2026 0:36:49,19,Prefer not to say,CHS (Health Science),1st Year,3.0 – 3.49,No,11.0,2.0,"Private space (i.e. bedroom, home office)",4.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,3.0,2.0,Đặng Tuấn Kiệt
14/05/2026 0:39:09,19,Female,CECS (Engineering & Computer Science),1st Year,3.5 – 4.0,No,2.0,5.0,"Private space (i.e. bedroom, home office)",5.0,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Disagree,Neutral,Agree,Somewhat Disagree,Strongly Disagree,Disagree,5.0,3.0,Đặng Tuấn Kiệt
